window_id,start_time,end_time,s1_prob_normal,s1_prob_yellow,s1_prob_red,s2_prob_normal,s2_prob_yellow,s2_prob_red
196,980.0,990.0,1.0,1.9870361e-14,7.316951e-20,1.0,2.0292418e-27,2.006513e-10
197,985.0,995.0,1.0,6.883866e-22,5.1592582e-30,1.0,1.5895123e-25,4.465201e-09
198,990.0,1000.0,1.0,1.6793467e-17,2.5461353e-25,1.0,1.813952e-24,1.4540699e-08
199,995.0,1005.0,1.0,1.0634399e-10,3.4915601e-12,1.0,6.582259e-27,3.9907108e-13
200,1000.0,1010.0,1.0,1.7116159e-14,5.212629e-16,1.0,2.770508e-24,5.436572e-13
201,1005.0,1015.0,1.0,3.4957548e-14,1.3785955e-20,1.0,1.4037178e-27,1.1726238e-09
202,1010.0,1020.0,0.99999964,3.6369178e-07,7.544062e-12,1.0,8.573653e-36,4.9864626e-13
203,1015.0,1025.0,1.0,3.0361436e-11,6.3569864e-18,1.0,2.0786395e-35,3.099966e-12
204,1020.0,1030.0,1.0,2.9881003e-17,9.330374e-25,1.0,5.578664e-28,3.9006892e-10
205,1025.0,1035.0,1.0,5.1489767e-22,6.931585e-30,0.99999905,1.7419812e-21,9.432524e-07
206,1030.0,1040.0,1.0,2.8171152e-22,5.2805364e-31,0.9999931,3.9841263e-21,6.9635116e-06
207,1035.0,1045.0,1.0,2.0346873e-23,1.00244336e-32,0.9999994,8.155255e-23,5.3669066e-07
208,1040.0,1050.0,1.0,5.2425802e-24,2.4352081e-33,0.99999976,2.02092e-21,2.4648128e-07
209,1045.0,1055.0,1.0,2.020924e-25,1.1311509e-34,0.9999957,4.136931e-18,4.342279e-06
210,1050.0,1060.0,1.0,8.986555e-20,5.0925547e-25,1.0,9.333791e-25,4.484101e-11
211,1055.0,1065.0,1.0,2.8277824e-24,6.230774e-33,0.9999995,1.0210558e-19,5.06979e-07
212,1060.0,1070.0,1.0,1.7514275e-25,1.445059e-35,0.99997723,1.7303293e-18,2.2792607e-05
