window_id,start_time,end_time,accel_VectorRMS,accel_PC1_PeakToPeak,accel_VectorCrestFactor,accel_PC1_DominantFreq,accel_PC1_RMSF,accel_PC1_VarianceRatio,accel_PC1_Direction_X,accel_PC1_Direction_Y,accel_PC1_Direction_Z,gyro_VectorRMS,gyro_STD_X,gyro_STD_Y,gyro_STD_Z,pressure_Mean,temperature_Mean
10,50.0,60.0,1.0409987241826957,0.530825401698179,1.244033469212123,0.30000000000000004,2.2066701986395048,0.6205914383961271,-0.8412563607560066,0.14970805773369666,0.5194951712356563,4.464619247824709,0.3342482610778541,2.0423590839677535,1.6093875854800301,1022.4390625,25.0
11,55.0,65.0,1.0411398591957999,0.5302951849514268,1.2438648303127202,0.2,2.133236076641033,0.5767815875557555,-0.8579192349223094,0.07663557052376357,0.5080369825916388,4.338067291658017,0.3295287851044311,2.0229935934061682,1.558499249224514,1022.420625,25.0
12,60.0,70.0,1.029384343119408,0.4005944023745427,1.214390817299775,0.4,2.400382789421368,0.5025163398158908,-0.9976183083462168,0.04904289245248625,0.04850263448851881,4.372954252704915,0.31298730224593374,1.8628219946821165,1.4411913246672923,1022.395859375,25.0
13,65.0,75.0,1.0380873746944426,0.2989293651525153,1.1654008601988883,0.5,2.5195367751433873,0.4926148088096611,-0.23309611377709927,-0.2903662497202085,-0.9280913978512217,4.280006700354349,0.3890481133815673,1.9996604159605562,1.5044087297155355,1022.38875,25.0
14,70.0,80.0,1.02258306466547,0.3443793339575183,1.1830705604598306,0.5,2.1561451916079877,0.5106994740576514,0.007555442324456502,0.22733075727433819,0.9737882942859593,4.126121175747644,0.38991335147403566,1.8749258726173836,1.3861974175506873,1022.39765625,25.0
15,75.0,85.0,1.003064179581434,0.3630044655409745,1.1532018060812972,0.9,1.9690679875782253,0.47508345715192,-0.9420462442080616,0.05626156186777631,0.33073178019307975,4.272427917929833,0.35617535126621186,1.5688163142233822,1.6691113111075568,1022.4074218750001,25.0
16,80.0,90.0,1.0203508222129412,0.4830740546371761,1.2559560096155722,0.1,1.95750966918986,0.5871651857086934,-0.7024566635809083,0.15412310921020766,0.6948386165133289,4.394109010243858,0.3484691259461459,1.7753128996832124,1.833003147207702,1022.411015625,25.0
17,85.0,95.0,1.025568653388207,0.4757717451997985,1.2495660264583415,0.2,2.2994880251818146,0.5224976057142685,-0.5979932088082542,0.19086890582432237,0.7784427936647844,4.580584358182029,0.315631300114064,2.0451140034982616,1.7063326529774867,1022.4132812500001,25.0
18,90.0,100.0,1.0226934645062273,0.36372308582450374,1.1901338875078278,0.30000000000000004,2.6341590991931114,0.4386047704245505,-0.9613734910031303,0.10674538067386719,0.25370540889237164,4.610202002971575,0.2683003350812062,2.3985707312780513,1.923274305017698,1022.416484375,25.0
19,95.0,105.0,1.0292369524919904,0.4525999490064416,1.182567479427063,0.8,2.6018625128024366,0.5683262516225659,-0.9764606758967184,0.05505688303327527,0.20855044487601612,4.564799136214471,0.3111489837958458,2.2513134439543703,2.0566989116121817,1022.430078125,25.0
20,100.0,110.0,1.0259228444353772,0.5190968449412922,1.2586499825756328,0.8,2.1465307610486986,0.6116270171559296,-0.8773598599515066,0.09117280060926242,0.4710914949082997,4.634214352331943,0.32864310429029026,1.9155004356721141,1.8847574114702832,1022.444296875,25.0
21,105.0,115.0,1.0343765227707824,0.5265788054962864,1.2483633781764378,0.6000000000000001,1.9500593222875844,0.5564386942362208,-0.8253756352604029,-0.08415837411646876,0.5582763014713759,4.552088345697088,0.32851635449904143,2.0105694598375408,1.9408004878294316,1022.4454687500001,25.0
